created_at,device,favorites,lang,retweets,text,user_display_name,user_screen_name
2019-10-12 11:43:07,Twitter for Android,0.0,en,29.0,"RT @imanojchauhan: Who did this..
 #DontGoBackModi https://t.co/VL5jSdYysb",Livin 4 Nu 🇮🇳,abvspl
2019-10-12 11:43:06,Twitter for Android,0.0,en,62.0,"RT @ankitasood13: He won hearts of millions by blending in where ever he go. He is blessed with our love for him . 
#DontGoBackModi https:/…",Pls FO,PlsFo
2019-10-12 11:43:06,Twitter for Android,0.0,en,273.0,"RT @Akshaysinghel: PM @narendramodi Ji himself is biggest ambassador of 🇮🇳 Tourism.

2019: Xi Jinping: Mamallapuram
2018: Macron: Varanasi…",Kash_1857,kash_1857
2019-10-12 11:43:05,Twitter Web App,0.0,hi,0.0,"👺👺  अब यह किसने किया  🧐 😝 😝 🤣 👺 🤣 🤔

सत्य नाश हो उसका कीड़े पड़े उसको 

#SaturdayMotivation
#NarendraModi
#INDvsSA… https://t.co/t1vAT9JpVJ",💫Shaikhshaan10💫,Shaikhshaan10
2019-10-12 11:43:04,Twitter for iPhone,0.0,en,273.0,"RT @Akshaysinghel: PM @narendramodi Ji himself is biggest ambassador of 🇮🇳 Tourism.

2019: Xi Jinping: Mamallapuram
2018: Macron: Varanasi…",Subhash Singh,Subhash42S
2019-10-12 11:43:02,Twitter Web App,0.0,en,1.0,RT @Santhanarajan39: North Indians think that #GoBackModi was trended by pakistani's..but only bjp and tamilians know the truth 😁😁#DontGoBa…,🕉️,pk_krr
2019-10-12 11:43:00,Twitter for Android,0.0,en,9.0,RT @sathyakumar_in: #DontGoBackModi மோடி அலை தமிழகத்தில் ! Modi Ayya please stay in Tamil Nadu for 1 day in a month - Visit every temple -…,Ezhil,Ezhil20979836
2019-10-12 11:42:57,Twitter for Android,0.0,en,72.0,"RT @mahesh10816: #DontGoBackModi

The difference between a world leader and Drama company https://t.co/YuKROW5lkx",Kash_1857,kash_1857
2019-10-12 11:42:57,Twitter Web App,0.0,en,255.0,"RT @iamrijoy: 👉🏻They remove the waste onthe beach for Modi

👉🏻Then sterilize the waste and place on the beach so that Modi can do publicity…",Ｊｏｈｎｙ Ｂｒａｖｏ©. 🚩sᴀɴɢʜɪ sʟᴀʏᴇʀ🚩,JohnyBravo_DMK
2019-10-12 11:42:55,Twitter for Android,0.0,ta,48.0,"RT @DilipKannan: கோபேக் பாகிஸ்தானில் இருந்து டுவிட் போட்டதற்க்கு யார் காரணம்...

தமிழகத்தில் திமுக, இதர கட்சிகள் அதற்க்கு துணையாக இருப்பது…",Chowkidar Vijay Thevar. Proud Hindu,ChennaiChaiwala
2019-10-12 11:42:54,Twitter for Android,0.0,und,0.0,@AjitKDoval_NSA @narendramodi #DontGoBackModi #DontGoBackModi #DontGoBackModi,MVR 1971,MVR19711
2019-10-12 11:42:54,Twitter for Android,0.0,en,81.0,RT @localtamilan: Describing the Artistic works of Silk Handloom weavers of Kancheepuram and Coimbatore ! PM gifted the saree with the face…,Pls FO,PlsFo
2019-10-12 11:42:54,Twitter for Android,0.0,en,801.0,RT @amitmalviya: India needs you... #DontGoBackModi https://t.co/XkYhZ6kiUT,மணிகன்டன்,N4ioZEC76mlUFNn
2019-10-12 11:42:54,Twitter for Android,0.0,en,0.0,"@narendramodi 🙏🙏
A true Bhartiya leader 
Taking all international heads to different Indian States &amp; showing them t… https://t.co/mjE6lrc4iw",Arpita Mukherjee,ImArpitaMukherj
2019-10-12 11:42:53,Twitter for Android,0.0,en,618.0,"RT @CMRamesh_MP: PM, above all a Swayamsevak !! 

#DontGoBackModi https://t.co/i0DGllCpLD",Latha Nrugham,lathanrugham
2019-10-12 11:42:52,Twitter for Android,0.0,en,801.0,RT @amitmalviya: India needs you... #DontGoBackModi https://t.co/XkYhZ6kiUT,SUNSHINE,NoJams_15
2019-10-12 11:42:51,Twitter for Android,0.0,hi,74.0,"RT @shalabhmani: हमें तो गर्व है कि मातृभूमि की सेवा में दिन रात डटे श्री @narendramodi जी हम सबके लोकप्रिय @PMOIndia हैं, जिन्हें अब भी ग…",Mohit kumar Dubey (शलभ समर्थक ),Mohitdubey281
2019-10-12 11:42:50,Twitter for Android,0.0,ta,0.0,பிரதமராக ஆசைப் பட்ட ராக்கூல் மத்திய பிரதேச பிரச்சாரத்தின் போது குடித்த தண்ணீர் பாட்டிலை ரோடில் தூக்கியெறிந்த காட்சி… https://t.co/IuBfXNkpt0,S.PARANTHAMAN 🇮🇳,sparjaga
2019-10-12 11:42:47,Twitter for Android,0.0,en,347.0,"RT @im_saiganesh: Pakistan links with Go Back Modi were out.

Pic 1: Pak media promoting Tamil separatist Thirumurugan Gandhi for Go Back M…",Kash_1857,kash_1857
2019-10-12 11:42:44,Twitter Web App,0.0,hi,0.0,"ATM लगा है इस बाइक में जो वॉइस कमांड पर देता है पैसे, और भी आश्चर्यचकित कर देने वाली इसकी खूबियां जानने के लिए दे… https://t.co/3R7kaxkqW1",Westupnews.com,westupnews
2019-10-12 11:42:43,Twitter for Android,0.0,en,801.0,RT @amitmalviya: India needs you... #DontGoBackModi https://t.co/XkYhZ6kiUT,sonu,sonu74m
2019-10-12 11:42:42,SocialReport.com,2.0,ta,0.0,"`இது புதுசு..!' - முதல்முறையாக டிரெண்டான #DontGoBackModi #Netizens
https://t.co/4VY6TFSTnM",விகடன்,vikatan
2019-10-12 11:42:41,Twitter Web App,0.0,en,1.0,RT @ImArpitaMukherj: Tamilians with love saying.. #DontGoBackModi https://t.co/O7lDQhKGQP,🕉️,pk_krr
2019-10-12 11:42:39,Twitter for Android,0.0,en,6.0,"RT @haripaltungar: #DontGoBackModi
#GodMorningSaturday
ALLAHIS IN S FORM SURAH AL FUROAN 25:59 Prophet muhammad's God is saying  that, Alla…",Mahavir Dass,mahavir_dass
2019-10-12 11:42:38,Twitter for Android,0.0,hi,23.0,"RT @sir_jenishpatel: पहचान कौन...??😂
मूर्तस्वामी रामाकृष्णन,रामास्वामी, शिवरामन वेणुगोपाल, वेणुसवामी, गोपालराई अय्यर...👇😂🤣😂😂

#NarendraModi…",SB Tiwari,MaintSb
2019-10-12 11:42:37,Twitter for Android,0.0,en,170.0,"RT @BJP4Andhra: They acted for 70 years and One Man is actually taking action on issues of immediate concern.
#DontGoBackModi https://t.co/…",V I J A Y ❤🙏🇮🇳,VijaySi61467645
2019-10-12 11:42:37,Twitter for Android,0.0,en,801.0,RT @amitmalviya: India needs you... #DontGoBackModi https://t.co/XkYhZ6kiUT,कर्ण,KaranShuklaa
2019-10-12 11:42:37,Twitter for Android,0.0,en,347.0,"RT @im_saiganesh: Pakistan links with Go Back Modi were out.

Pic 1: Pak media promoting Tamil separatist Thirumurugan Gandhi for Go Back M…",मणिकंठ नायर (जय श्रीराम!) 🇮🇳,Hindu108
2019-10-12 11:42:37,Twitter for Android,0.0,en,860.0,"RT @SwamiGeetika: Those who think Modi’s popularity in Tamilnadu is a myth must watch this video. 

The madi magic is sure to leave you spe…",Alpesh Mewani,AlpeshMewani
2019-10-12 11:42:36,Twitter Web App,0.0,ta,1.0,RT @Aiadmkfastnews: இந்திய அளவில் #DontGoBackModi என்ற ஹேஷ்டேக் ட்ரெண்ட் ஆகியுள்ளது. https://t.co/dX58qoOI8S,🕉️,pk_krr
2019-10-12 11:42:35,Twitter Web App,0.0,en,0.0,TN people are not trending #DontGoBackModi. North Indians are trending. They are asking #Modi not to go back to TN.… https://t.co/JTCZNzFT4y,தாயு,thaayumanavan
2019-10-12 11:42:34,Twitter for Android,0.0,en,801.0,RT @amitmalviya: India needs you... #DontGoBackModi https://t.co/XkYhZ6kiUT,Bk Mishra,Bkmishra_
2019-10-12 11:42:34,Twitter for Android,0.0,en,801.0,RT @amitmalviya: India needs you... #DontGoBackModi https://t.co/XkYhZ6kiUT,Latha Nrugham,lathanrugham
2019-10-12 11:42:33,Twitter for Android,0.0,en,860.0,"RT @SwamiGeetika: Those who think Modi’s popularity in Tamilnadu is a myth must watch this video. 

The madi magic is sure to leave you spe…",Ajit kumar Chand,ajitchandoffice
2019-10-12 11:42:31,Twitter for iPhone,0.0,en,860.0,"RT @SwamiGeetika: Those who think Modi’s popularity in Tamilnadu is a myth must watch this video. 

The madi magic is sure to leave you spe…",Vijay Kumar,vijay_garuda
2019-10-12 11:42:30,Twitter for Android,0.0,ta,12.0,"RT @MunimaOffl: நாங்க கைக்கு கிளவுஸ் போட்டு, முகத்துல மாஸ்க் போட்டு சுற்றி 16 கேமராவை வச்சிட்டு குனியாம, அசையாம நின்னு 2 நிமிஷம் குப்பையை…",Pragadish Blaze,pragadishblaze
2019-10-12 11:42:28,Twitter for iPhone,0.0,en,554.0,"RT @MODIfiedTamilan: My PM wasn't from elite class
My PM whose lifetime is for ""Nation First""
My PM knows the traditions &amp; history of Bhara…",Punjabi Munda,ParekhShital
2019-10-12 11:42:26,Twitter for Android,0.0,en,860.0,"RT @SwamiGeetika: Those who think Modi’s popularity in Tamilnadu is a myth must watch this video. 

The madi magic is sure to leave you spe…",prashant,bhave2009
2019-10-12 11:42:25,Twitter for Android,0.0,en,13.0,"RT @irajpootshubham: ""Narendra Modi - A True Inspiration 😍""

@narendramodi has shown entire world about Clean India Initiative.

Never even…",Akash Kumar,Aka5hKr
2019-10-12 11:42:25,Twitter for Android,0.0,ta,0.0,"“திரும்பி செல்லாதீர்கள் மோடி” -  ட்ரெண்ட் ஆன ஹாச்டேக் ..
தமிழக மக்கள் ஏக்கம்.... #DontGoBackModi  #NarendraModi… https://t.co/U3mxh14RZU",♠Er. பர்மா♠,BarmaaD
2019-10-12 11:42:23,Twitter for Android,0.0,ta,525.0,"RT @BJP4TamilNadu: மாமல்லபுரம் கடற்கரையில் காலை நடைப்பயிற்சி செய்த ""தமிழர்களின் பெருமை -பிரதமர் 
மோடி"" , கடற்கரையில் குப்பைகளை அகற்றிய தூய்…",Ajith giri,Ajith_giri
2019-10-12 11:42:23,Twitter for Android,0.0,en,533.0,"RT @Shanktan: To become a world leader you need Vision, Ethics, Knowledge and leadership to lead the world in right and positive Direction…",Ajai,Ajai03998887
2019-10-12 11:42:23,Twitter for Android,0.0,en,147.0,RT @kapil_kausik: My participation on #DontGoBackModi is 1st response to those who colluded with enemy nation(s) and were happy to see #=Go…,Ratan Sharda 🇮🇳,RatanSharda55
2019-10-12 11:42:22,Twitter for Android,0.0,en,554.0,"RT @MODIfiedTamilan: My PM wasn't from elite class
My PM whose lifetime is for ""Nation First""
My PM knows the traditions &amp; history of Bhara…",Hi,hardedrockx
